DATASET_SYMBOL
SEPARATOR TAB
DATASET_LABEL	MySymbolColors
COLOR	#ff0000
MAXIMUM_SIZE	10

DATA
IPC80	2	5	#e74c3c	1	1
IPC81	2	5	#e74c3c	1	1
IPC82	2	5	#e74c3c	1	1
IPC83	2	5	#f1c40f	1	1
IPC84	2	5	#e74c3c	1	1
IPC85	2	5	#e74c3c	1	1
IPC86	2	5	#f1c40f	1	1
IPC87	2	5	#f1c40f	1	1
IPC88	2	5	#e74c3c	1	1
IPC89	2	5	#f1c40f	1	1
IPC91	2	5	#27ae60	1	1
IPC92	2	5	#27ae60	1	1
IPC93	2	5	#27ae60	1	1
IPC94	2	5	#e74c3c	1	1
IPC95	2	5	#27ae60	1	1
IPC252	2	5	#27ae60	1	1
IPC253	2	5	#27ae60	1	1
IPC258	2	5	#3498db	1	1
IPC300	2	5	#e74c3c	1	1
IPC349	2	5	#e74c3c	1	1
IPC436	2	5	#3498db	1	1
IPC448	2	5	#27ae60	1	1
IPC450	2	5	#27ae60	1	1
IPC543	2	5	#e74c3c	1	1
IPC573	2	5	#e74c3c	1	1
IPC1103	2	5	#e74c3c	1	1
IPC1256	2	5	#e74c3c	1	1
IPC1257	2	5	#e74c3c	1	1
IPC1258	2	5	#e74c3c	1	1
IPC1259	2	5	#e74c3c	1	1
IPC1260	2	5	#e74c3c	1	1
IPC1261	2	5	#e74c3c	1	1
IPC1262	2	5	#e74c3c	1	1
IPC1264	2	5	#f1c40f	1	1
IPC1266	2	5	#f1c40f	1	1
IPC1268	2	5	#f1c40f	1	1
IPC1269	2	5	#f1c40f	1	1
IPC1270	2	5	#f1c40f	1	1
IPC1271	2	5	#e74c3c	1	1
IPC1272	2	5	#f1c40f	1	1
IPC1273	2	5	#e74c3c	1	1
IPC1274	2	5	#f1c40f	1	1
IPC1360	2	5	#e74c3c	1	1
IPC1370	2	5	#e74c3c	1	1
IPC1423	2	5	#e74c3c	1	1
IPC1432	2	5	#e74c3c	1	1
IPC1439	2	5	#e74c3c	1	1
PAO1	2	5	#17202a	1	1
PA14	2	5	#17202a	1	1
